               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.036882,            0.013795,                   0,             0.69206,             0.81732,             0.73465,             0.35134,            0.042143,           0.0074808,                   0,           0.0081685,           0.0081685,           0.0081685
                  39,            0.038677,            0.012469,                   0,             0.52605,             0.90818,             0.70157,             0.31842,            0.040931,           0.0076777,                   0,            0.008119,            0.008119,            0.008119
                  40,              0.0377,             0.01265,                   0,             0.62381,             0.90909,             0.73038,             0.21416,            0.043163,           0.0071834,                   0,           0.0080695,           0.0080695,           0.0080695
                  41,            0.036521,            0.013329,                   0,             0.66604,             0.72727,             0.74568,             0.32935,            0.042947,           0.0067967,                   0,             0.00802,             0.00802,             0.00802
                  42,            0.034214,            0.012877,                   0,             0.99956,             0.54545,             0.77095,             0.31481,            0.043198,           0.0069408,                   0,           0.0079705,           0.0079705,           0.0079705
                  43,            0.035181,            0.012021,                   0,              0.5996,             0.81818,             0.73767,             0.27491,            0.042095,             0.00776,                   0,            0.007921,            0.007921,            0.007921
                  44,            0.038336,            0.012514,                   0,             0.71321,             0.45455,             0.61257,             0.26293,            0.046007,           0.0081257,                   0,           0.0078715,           0.0078715,           0.0078715
                  45,            0.034566,            0.014216,                   0,             0.77692,             0.63636,             0.72355,             0.34879,            0.039287,           0.0082711,                   0,            0.007822,            0.007822,            0.007822
                  46,            0.032467,            0.011514,                   0,             0.59965,             0.81707,             0.72812,             0.37151,            0.042226,            0.008338,                   0,           0.0077725,           0.0077725,           0.0077725
                  47,            0.036812,            0.014452,                   0,             0.52926,             0.81818,             0.64791,             0.28802,            0.037389,           0.0091439,                   0,            0.007723,            0.007723,            0.007723
                  48,            0.038674,            0.014146,                   0,              0.5712,             0.72665,             0.70518,             0.33283,            0.046036,           0.0092381,                   0,           0.0076735,           0.0076735,           0.0076735
                  49,            0.036755,            0.014322,                   0,             0.81769,             0.81818,             0.82807,             0.41509,            0.035373,           0.0086289,                   0,            0.007624,            0.007624,            0.007624
                  50,             0.03557,            0.012662,                   0,             0.74999,             0.81816,             0.79343,             0.38554,            0.033917,           0.0084867,                   0,           0.0075745,           0.0075745,           0.0075745
                  51,            0.036575,            0.013045,                   0,             0.72723,             0.72714,              0.6675,              0.3496,            0.039207,             0.00846,                   0,            0.007525,            0.007525,            0.007525
                  52,            0.036907,            0.010772,                   0,              0.6248,             0.90909,             0.78956,             0.29156,             0.03979,           0.0087177,                   0,           0.0074755,           0.0074755,           0.0074755
                  53,            0.034982,            0.012028,                   0,             0.78552,                   1,             0.92006,             0.40655,            0.036684,           0.0085062,                   0,            0.007426,            0.007426,            0.007426
                  54,            0.031827,            0.015753,                   0,             0.78557,                   1,             0.93006,             0.36559,            0.036635,           0.0085948,                   0,           0.0073765,           0.0073765,           0.0073765
                  55,            0.034969,            0.010886,                   0,             0.78564,             0.99962,             0.93371,              0.3747,            0.038877,           0.0083571,                   0,            0.007327,            0.007327,            0.007327
                  56,            0.033964,            0.014388,                   0,             0.71405,             0.90909,               0.736,             0.28168,             0.03938,           0.0086854,                   0,           0.0072775,           0.0072775,           0.0072775
                  57,            0.032712,            0.015464,                   0,             0.78564,              0.9996,             0.80825,             0.37738,            0.035323,           0.0087822,                   0,            0.007228,            0.007228,            0.007228
                  58,            0.032785,            0.011642,                   0,             0.69225,             0.81798,             0.64511,             0.33919,            0.036721,           0.0088647,                   0,           0.0071785,           0.0071785,           0.0071785
                  59,            0.027258,             0.01307,                   0,             0.78538,                   1,             0.82488,             0.34669,            0.035691,           0.0090363,                   0,            0.007129,            0.007129,            0.007129
                  60,             0.02824,            0.011986,                   0,             0.73321,                   1,               0.767,             0.29345,            0.045014,           0.0083004,                   0,           0.0070795,           0.0070795,           0.0070795
                  61,            0.029729,            0.011864,                   0,             0.71424,             0.90909,             0.75206,             0.37535,            0.039343,           0.0077365,                   0,             0.00703,             0.00703,             0.00703
                  62,            0.031061,            0.013216,                   0,             0.83306,             0.90746,             0.82653,             0.43624,            0.040009,           0.0068669,                   0,           0.0069805,           0.0069805,           0.0069805
                  63,            0.031207,            0.013448,                   0,             0.76916,             0.90876,             0.82816,             0.36057,            0.039551,           0.0067202,                   0,            0.006931,            0.006931,            0.006931
                  64,            0.030212,            0.012967,                   0,             0.83331,             0.90892,             0.83531,             0.44724,            0.039791,           0.0066871,                   0,           0.0068815,           0.0068815,           0.0068815
                  65,            0.028489,            0.011217,                   0,             0.83274,             0.90909,             0.81614,             0.39449,            0.043871,            0.007472,                   0,            0.006832,            0.006832,            0.006832
                  66,            0.033868,            0.010854,                   0,             0.83324,             0.90854,             0.86975,             0.45428,            0.034397,           0.0071297,                   0,           0.0067825,           0.0067825,           0.0067825
                  67,            0.038899,            0.011185,                   0,             0.90905,              0.9087,             0.92662,             0.37963,            0.043634,           0.0069803,                   0,            0.006733,            0.006733,            0.006733
                  68,            0.033348,            0.011631,                   0,             0.84613,              0.9998,             0.93206,             0.50971,            0.035797,             0.00673,                   0,           0.0066835,           0.0066835,           0.0066835
